Word,Meaning
archetype,"(a typical example of something, or the original model of something from which others are copied:)
[The United States is the archetype of a federal society.]
"
arduous,"(difficult, needing a lot of effort and energy:)
[an arduous climb/task/journey]
"
arid,"(very dry and without enough rain for plants:)
[The desert is so arid that nothing can grow there.]
(unsuccessful:)
[After several arid years, the company has started to become successful.]
(not interesting and showing no imagination:)
[I found his writing extremely arid.]
"
arouse,"(to cause someone to have a particular feeling:)
[It's a subject that has aroused a lot of interest.
Our suspicions were first aroused when we heard a muffled scream.]
(to cause someone to feel sexual excitement)
[]
"
Asinine,"(extremely stupid:)
[an asinine comment]
"
assertion,"(a statement that you strongly believe is true:)
[I certainly don't agree with his assertion that men are better drivers than women.]
"
assiduous,"(showing hard work, care, and attention to detail:)
[assiduous research/efforts
an assiduous student
The government has been assiduous in the fight against inflation.]
"
assuage,"(to make unpleasant feelings less strong:)
[The government has tried to assuage the public's fears.]
"
assume,"(to accept something to be true without question or proof:)
[[ + (that) ] I assumed (that) you knew each other because you went to the same school.
Let's assume (that) they're coming and make plans on that basis.
[ + to infinitive ] We can't assume the suspects to be guilty simply because they've decided to remain silent.
We mustn't assume the suspects' guilt.]
(to pretend to have a different name or be someone you are not, or to express a feeling falsely:)
[Moving to a different town, he assumed a false name.
During the investigation, two detectives assumed the identities of antiques dealers.
He assumed a look of indifference but I knew how he felt.]
(to take or begin to have responsibility or control, sometimes without the right to do so, or to begin to have a characteristic:)
[The new president assumes office at midnight tonight.
The terrorists assumed control of the plane and forced it to land in the desert.
The issue has assumed considerable political proportions (= has become a big political problem).]
"
astounding,"(very surprising or shocking:)
[an astounding fact/decision/revelation
an astounding (= very great) victory/achievement/success]
"
adversity,"(a difficult or unlucky situation or event:)
[She was always cheerful in adversity.
The road to happiness is paved with adversities.]
"
affable,"(friendly and easy to talk to:)
[He struck me as an affable sort of a man.
She was quite affable at the meeting.]
"
affectation,"(behaviour or speech that is not sincere:)
[She has so many little affectations.
His manner reeks of affectation.
""It doesn't concern me,"" he said with an affectation of nonchalance.]
"
affluent,"(having a lot of money or owning a lot of things:)
[affluent nations/neighbourhoods]
"
afoot,"(happening or being planned or prepared:)
[There are plans afoot to launch a new radio station.]
"
agile,"(able to move your body quickly and easily:)
[Monkeys are very agile climbers.
You need to have agile fingers to do this kind of work.]
(able to think quickly and clearly:)
[For a man of 80, he has a remarkably agile mind.]
(used for describing ways of planning and doing work in which it is understood that making changes as they are needed is an important part of the job)
[]
"
aggrandize,"(to make someone more powerful or important)
[]
"
